name,final_portfolio_value_usd,final_sol_equiv,total_return_pct,max_drawdown_pct,post_2024_drawdown_pct,sortino_ratio,min_health_factor,total_liquidations,liquidated,avg_target_long_fraction,avg_target_short_fraction,max_target_short_fraction,final_debt_ETH_value,final_collateral_USDC,usd_gap_vs_anchor,sol_gap_vs_anchor,dd_gap_vs_anchor
hedge_g3_0.03_g2_0.05_r_0.20,64293.37083963621,514.5527878322226,41535.39103719479,59.062311245228805,37.831790356475324,2.1547129457114376,1.475323983127931,0,False,0.5551830451960628,0.10019549181263845,0.2,1159.5416351203733,65452.91247475659,-2181.747150363786,-17.460961167777327,-0.23136975477119393
hedge_g3_0.03_g2_0.05_r_0.35,64139.381041897395,513.3203764857734,41435.669629515214,59.062311245228805,37.831790356475345,2.1478289464287323,1.4753239831279317,0,False,0.5551830451960628,0.1700954621234613,0.35,1156.764403509553,65296.145445406946,-2335.7369481026035,-18.693372514226553,-0.23136975477119393
hedge_g3_0.00_g2_0.20_r_0.20,52779.15104219924,422.40216920527604,34078.96065418937,59.17872772758489,39.56041538519236,2.0308368826547034,1.476213621914081,0,False,0.5551830451960628,0.09452120492383582,0.2,1.3173462320992258e-12,52779.15104219924,-13695.966947800756,-109.61157979472392,-0.11495327241510722
hedge_g3_0.00_g2_0.20_r_0.35,52686.36966855872,421.65962119694854,34018.8768738238,59.17872772758489,39.56041538519236,2.032116424352882,1.4762136219140805,0,False,0.5551830451960628,0.16389339301619205,0.35,0.0,52686.36966855872,-13788.748321441279,-110.35412780305143,-0.11495327241510722
anchor_no_hedge,66475.11798956605,532.0137494162949,42948.256695742806,59.293680619585565,38.68559439504651,1.9400097378695218,1.4759038752052507,0,False,0.5551830451960628,0.0,0.0,0.0,66475.11798956605,-4.339526640251279e-07,4.162949380770442e-07,-3.80414434175691e-07
hedge_g3_0.05_g2_0.15_r_0.20,55331.91090002693,442.83242016828274,35732.08839530302,59.320946471268165,37.54287044126607,2.165011755657944,1.4631383039819312,0,False,0.5551830451960628,0.10707515929385435,0.2,1733.4803736735312,57065.391273700465,-11143.207089973068,-89.18132883171722,0.027265471268165697
hedge_g3_0.05_g2_0.15_r_0.35,54609.374332470135,437.0498145855953,35264.18490640469,59.320946471268165,37.54287044126606,2.1608482200422805,1.4631383039819312,0,False,0.5551830451960628,0.17649987439194284,0.35,1305.7084949256246,55915.08282739576,-11865.743657529863,-94.96393441440466,0.027265471268165697
hedge_g3_0.00_g2_0.10_r_0.20,62956.14751291354,503.8507203914649,40669.42592469469,59.370866550204724,39.21858623895437,2.0812935527934324,1.4759044579920908,0,False,0.5551830451960628,0.09343640806632104,0.2,0.0,62956.14751291354,-3518.9704770864555,-28.163028608535058,0.0771855502047245
hedge_g3_0.00_g2_0.10_r_0.35,62016.79505946895,496.33289363320483,40061.11582662151,59.370866550204724,39.24987209391854,2.0777522748617225,1.4759044579920906,0,False,0.5551830451960628,0.16302441363875123,0.35,0.0,62016.79505946895,-4458.322930531052,-35.68085536679513,0.0771855502047245
hedge_g3_0.03_g2_0.10_r_0.20,59627.1556884369,477.2081287589988,38513.62238598426,59.41725374465848,37.9292875064633,2.0733953969383565,1.4705780284602874,0,False,0.5551830451960628,0.10154452234681527,0.2,1940.1005650516263,61567.25625348853,-6847.9623015631005,-54.80562024100118,0.12357274465848178
hedge_g3_0.03_g2_0.10_r_0.35,59201.181740528526,473.79897351363365,38237.768255749594,59.41725374465848,37.9292875064633,2.0631543248127473,1.4705780284602874,0,False,0.5551830451960628,0.17090597665973922,0.35,1926.240566406837,61127.42230693537,-7273.936249471473,-58.21477548636631,0.12357274465848178
hedge_g3_0.03_g2_0.20_r_0.20,53164.51022022567,425.4862762723143,34328.51328858028,59.673418995005655,38.06124664515566,2.055483489701569,1.470839328168499,0,False,0.5551830451960628,0.10231004636079201,0.2,1731.173160856264,54895.68338108193,-13310.607769774331,-106.52747272768568,0.3797379950056552
hedge_g3_0.03_g2_0.20_r_0.35,51531.877416354444,412.4199873257659,33271.245574636996,59.673418995005655,38.85907343864624,2.0600762309900156,1.470839328168499,0,False,0.5551830451960628,0.17195217758695505,0.35,1678.0104385836887,53209.88785493813,-14943.240573645555,-119.59376167423409,0.3797379950056552
hedge_g3_0.00_g2_0.15_r_0.20,55445.58976805874,443.7422150304821,35805.705069329575,60.09228201966709,39.43630692201988,2.038229414396763,1.4758664582410865,0,False,0.5551830451960628,0.09402562404366592,0.2,0.0,55445.58976805874,-11029.528221941262,-88.27153396951786,0.798601019667089
hedge_g3_0.00_g2_0.15_r_0.35,54538.89116563179,436.4857236145001,35218.541099360045,60.09228201966709,39.38951919044883,2.033403193145117,1.4758664582410865,0,False,0.5551830451960628,0.16376093361043234,0.35,0.0,54538.89116563179,-11936.226824368212,-95.52802538549986,0.798601019667089
