window,name,final_portfolio_value_usd,final_sol_equiv,max_drawdown_pct,sortino_ratio,min_health_factor,bars_below_hf_1_5,total_actions,total_interest_paid,total_liquidations,liquidated,avg_target_short_fraction,max_target_short_fraction,hedge_gate_active_share,bars_with_short_target,max_debt_ETH_value,final_debt_ETH_value,usd_gap_vs_static,sol_gap_vs_static,dd_gap_vs_static,strict_improvement_vs_static
full_2021_2025,rs_lb36_u0.0025,66962.08890197611,535.9110756460673,58.809344796511134,2.1882406211009604,1.4715811466293194,82,3093,1535.0542306215577,0,False,0.005262406650375683,0.05,0.8415054696599448,4645,3128.9284628897494,297.4819862494108,-1329.5629444353108,-10.640759859426225,1.3695774103892546,False
full_2021_2025,rs_lb36_u0.0050,67012.71614795383,536.316255685905,58.77820225799184,2.1884498050794132,1.47158114662932,82,3089,1536.1521552358568,0,False,0.005040308767442392,0.05,0.8308402037134309,4515,3131.2941153587117,297.7068999869991,-1278.935698457586,-10.235579819588452,1.3384348718699641,False
full_2021_2025,rs_lb24_u0.0050_g3_0.040_g2_0.000,66475.11798956605,532.0137494162949,59.293680619585565,1.9400097378695218,1.4759038752052507,30,3064,1545.774025105729,0,False,0.0036138579943818944,0.04,0.8305433119419006,3956,0.0,0.0,-1816.5338568453735,-14.5380860891986,1.853913233463686,False
full_2021_2025,rs_lb24_u0.0050_g3_0.040_g2_0.025,66475.11798956605,532.0137494162949,59.293680619585565,1.9400097378695218,1.4759038752052507,30,3064,1545.774025105729,0,False,0.003739466051567817,0.04,0.822983990682166,4176,0.0,0.0,-1816.5338568453735,-14.5380860891986,1.853913233463686,False
full_2021_2025,rs_lb24_u0.0050_g3_0.050_g2_0.000,69809.8275085028,558.7021009083858,57.43072635108229,2.2082521551867966,1.4694051623562456,87,3061,1591.555330080387,0,False,0.004517322492977368,0.05,0.8306803389133761,3956,3231.5145295194548,367.95517582494756,1518.1756620913802,12.150265402892273,-0.009041035039587086,True
full_2021_2025,rs_lb24_u0.0050_g3_0.050_g2_0.025,69809.8275085028,558.7021009083858,57.43072635108229,2.2082521551867966,1.4694051623562456,87,3061,1591.555330080387,0,False,0.004641217713019847,0.05,0.8210199374243496,4173,3231.5145295194548,367.95517582494756,1518.1756620913802,12.150265402892273,-0.009041035039587086,True
full_2021_2025,rs_lb24_u0.0050_g3_0.050_g2_0.050,69809.8275085028,558.7021009083858,57.43072635108229,2.2082521551867966,1.4694051623562456,87,3061,1591.555330080387,0,False,0.0047651129330623255,0.05,0.8210199374243496,4173,3231.5145295194548,367.95517582494756,1518.1756620913802,12.150265402892273,-0.009041035039587086,True
full_2021_2025,rs_lb24_u0.0050_g3_0.060_g2_0.025,66288.42162667231,530.5195808457167,58.32824824363531,2.177938427693182,1.4776141180986793,119,3431,1491.6999725213811,0,False,0.0054767396715920255,0.06,0.8241487199397082,4054,5382.808477302603,1386.4924983892013,-2003.230219739111,-16.032254659776754,0.8884808575134286,False
early_2021_2023,static_light_hedge,22271.66353360474,217.13623411918437,57.43976738612188,2.622107245666309,1.4705810259239156,51,1977,272.56926100610883,0,False,0.01343596387608124,0.05,1.0,7235,391.3130709820458,254.03532132268117,0.0,0.0,0.0,True
early_2021_2023,rs_lb18_u0.0000,21637.032763383508,210.94893987894616,59.46200711491703,2.5798652568969005,1.4784267572872527,32,2084,272.480531705997,0,False,0.004905117555157565,0.05,0.8303547612696719,2599,447.20664903809455,215.68357991228666,-634.6307702212325,-6.187294240238202,2.0222397287951495,False
early_2021_2023,rs_lb18_u0.0025,22685.372523110032,221.16966484459428,57.43188810058607,2.6267630033954648,1.4705883470387413,51,1943,276.43596726414637,0,False,0.004488816065236444,0.05,0.8245627405403345,2364,401.0738989332489,260.37192300771164,413.70898950529227,4.033430725409914,-0.007879285535807412,True
early_2021_2023,rs_lb18_u0.0050,22685.304097763736,221.16899773582662,57.43189000238033,2.626761490786483,1.4705883505927202,51,1943,276.43532352694126,0,False,0.004171588614106619,0.05,0.8148458636588805,2220,401.0738989332489,260.37192300771164,413.6405641589954,4.0327636166422565,-0.007877383741551114,True
early_2021_2023,rs_lb18_u0.0075,22692.881473980837,221.24287290612108,57.431679466843335,2.626897800422175,1.470587957156955,51,1939,276.506610546312,0,False,0.0037895819837671,0.05,0.8104256373128073,1993,401.0738989332489,260.37192300771164,421.2179403760965,4.106638786936713,-0.008087919278544575,True
early_2021_2023,rs_lb24_u0.0000,22634.780317507146,220.6764192015906,57.430728797360096,2.6256411277818517,1.4705888398916263,51,1946,275.83817855461655,0,False,0.005086118202949358,0.05,0.8294021262812941,2726,400.346827047078,259.899917460428,363.1167839024056,3.540185082406225,-0.009038588761782762,True
early_2021_2023,rs_lb24_u0.0025,22634.780317507146,220.6764192015906,57.430728797360096,2.6256411277818517,1.4705888398916263,51,1946,275.83817855461655,0,False,0.0047917539915406015,0.05,0.8234576839538162,2570,400.346827047078,259.899917460428,363.1167839024056,3.540185082406225,-0.009038588761782762,True
early_2021_2023,rs_lb24_u0.0050,22699.21996950496,221.30466968416653,57.43072635108229,2.6266740851852752,1.4705888353112555,51,1946,276.635007913807,0,False,0.004398315741340548,0.05,0.8169035552337767,2335,401.48502664620685,260.63882173512656,427.5564359002201,4.168435564982161,-0.009041035039587086,True
early_2021_2023,rs_lb24_u0.0075,21253.79917460989,207.2126272263809,59.48449727107605,2.5101642945599796,1.4813861118418081,24,2044,266.0464352497627,0,False,0.004081088290210724,0.05,0.8078725755439545,2167,457.65735678294567,138.78052545179904,-1017.8643589948515,-9.923606892803463,2.0447298849541724,False
early_2021_2023,rs_lb36_u0.0000,22652.961080090437,220.8536714447737,57.433949484618076,2.6260073769260064,1.4705861752708576,49,1961,276.58870975655066,0,False,0.005432877338718896,0.05,0.8350798308120261,2926,399.76267782174256,259.5206954329449,381.29754648569724,3.7174373255893443,-0.005817901503803569,True
