name,target_long_fraction,enable_signal_governor,final_portfolio_value_usd,final_sol_equiv,total_return_pct,max_drawdown_pct,post_2024_drawdown_pct,sortino_ratio,min_health_factor,total_liquidations,liquidated,max_target_long_fraction,avg_target_long_fraction,min_target_long_fraction,green3_pct,green4_pct,risk_off_pct,usd_gap_vs_static_1_05,dd_gap_vs_static_1_05,usd_gap_vs_prior_sol_checkpoint,sol_gap_vs_prior_sol_checkpoint
signal_g3_1.050_g4_1.075,1.075,True,67989.2369236938,544.1315480087538,43928.77666344631,59.58615242225,39.10830184616453,1.958177467460213,1.4635880205732845,0,False,1.075,0.561642725009706,0.0,25.838719254573274,27.00801607783132,47.15326466759541,2578.572832693797,0.2317404222499988,5985.616923693793,47.778426008753854
signal_g3_1.000_g4_1.100,1.1,True,69526.13958514373,556.4316893568925,44924.05102003867,59.92133118137127,38.714372131644446,1.9404221488270306,1.4578201205800059,0,False,1.1,0.5554753694018773,0.0,25.838719254573274,27.00801607783132,47.15326466759541,4115.475494143728,0.5669191813712686,7522.519585143724,60.07856735689256
signal_g3_1.025_g4_1.100,1.1,True,70208.14924550186,561.8899499439924,45365.70991160592,60.22136094338122,38.869281926762774,1.9348085187269266,1.4578201393401953,0,False,1.1,0.5619350492155205,0.0,25.838719254573274,27.00801607783132,47.15326466759541,4797.485154501861,0.8669489433812174,8204.529245501857,65.53682794399242
static_1.075,1.075,False,70853.33810130587,567.0535262209353,45783.52422050632,60.246311769603565,39.65507137112452,1.9573542077173385,1.4473215465879437,0,False,1.075,1.075,1.075,25.838719254573274,27.00801607783132,0.0,5442.674010305869,0.8918997696035618,8849.718101305865,70.7004042209353
signal_g3_0.900_g4_1.150,1.15,True,66900.79269811686,535.4205097888504,43223.9170432048,60.270547854799275,37.76886333256257,1.8289008268203057,1.4240753554959993,0,False,1.15,0.5431406581862198,0.0,25.838719254573274,27.00801607783132,72.99198392216869,1490.128607116858,0.916135854799272,4897.172698116854,39.0673877888504
signal_g3_1.000_g4_1.125,1.125,True,73301.67861115876,586.6480881245199,47369.03160935031,60.62284249074843,39.022444188177225,1.9379797143873088,1.4405728014787265,0,False,1.125,0.5622273734213351,0.0,25.838719254573274,27.00801607783132,47.15326466759541,7891.014520158758,1.268430490748429,11298.058611158755,90.29496612451987
signal_g3_1.050_g4_1.100,1.1,True,74392.98399869046,595.3820247994435,48075.74407375369,60.65996831406228,39.11646703378962,1.9450599135737026,1.4617962405237799,0,False,1.1,0.5683947290291639,0.0,25.838719254573274,27.00801607783132,47.15326466759541,8982.319907690457,1.3055563140622795,12389.363998690453,99.02890279944347
signal_g3_1.025_g4_1.125,1.125,True,74507.85955467554,596.3013969962028,48150.135704361826,60.711029848637295,39.176568143033926,1.9344777927765007,1.440572820167423,0,False,1.125,0.5686870532349785,0.0,25.838719254573274,27.00801607783132,47.15326466759541,9097.19546367554,1.356617848637292,12504.239554675536,99.94827499620283
static_1.10,1.1,False,78944.12492845883,631.8057217163572,51022.99244169073,61.15579650057694,40.12540322545955,1.9608158371288413,1.4292717062658824,0,False,1.1,1.0999999999999999,1.1,25.838719254573274,27.00801607783132,0.0,13533.460837458828,1.8013845005769369,16940.504928458824,135.4525997163572
signal_g3_1.050_g4_1.125,1.125,True,78258.29063329409,626.3168518070755,50578.85677586717,61.35282884602703,39.59571312058729,1.9369174111077279,1.4405728388256482,0,False,1.125,0.5751467330486217,0.0,25.838719254573274,27.00801607783132,47.15326466759541,12847.626542294092,1.9984168460270268,16254.670633294088,129.96372980707554
